Time A1 (s),Pressure A1 (mmHg),Volume A1 (μl)
2.861,82.1143,22.8642
2.862,80.8002,22.3927
2.863,79.5022,21.9761
2.864,78.1618,21.6291
2.865,76.7403,21.3228
2.866,75.1262,21.0195
2.867,73.1749,20.7302
2.868,70.3846,20.4872
2.869,65.3411,20.1812
2.870,58.882,19.9133
2.871,53.3825,19.6443
2.872,48.3822,19.4388
2.873,43.4815,19.3896
2.874,38.5707,19.4211
2.875,33.7803,19.492
2.876,29.3356,19.6302
2.877,25.2893,19.8395
2.878,21.5249,20.1239
2.879,18.0667,20.4207
2.880,14.9135,20.7581
2.881,12.1502,21.0386
2.882,9.71429,21.2612
2.883,7.62214,21.4598
2.884,5.87557,21.6384
2.885,4.4862,21.8123
2.886,3.45814,22.0211
2.887,2.75931,22.2161
2.888,2.3009,22.4448
2.889,2.04879,22.7404
2.890,1.92776,23.0879
2.891,1.92495,23.5327
2.892,1.96632,24.0356
2.893,2.02008,24.6318
2.894,2.08593,25.301
2.895,2.14903,26.0396
2.896,2.19603,26.8321
2.897,2.26665,27.5648
2.898,2.32835,28.2308
2.899,2.41202,28.808
2.900,2.50744,29.3028
2.901,2.61832,29.78
2.902,2.74721,30.2433
2.903,2.90947,30.6971
2.904,3.0523,31.1586
2.905,3.20957,31.5734
2.906,3.35659,31.9814
2.907,3.50563,32.5011
2.908,3.64118,33.0543
2.909,3.78367,33.6224
2.910,3.904,34.1744
2.911,4.03932,34.7582
2.912,4.17092,35.345
2.913,4.30566,35.8813
2.914,4.42236,36.3538
2.915,4.55897,36.6283
2.916,4.673,36.7547
2.917,4.76551,36.8162
2.918,4.83922,36.8156
2.919,4.94378,36.7974
2.920,5.01805,36.7521
2.921,5.09721,36.669
2.922,5.14823,36.6158
2.923,5.18787,36.6438
2.924,5.22669,36.715
2.925,5.27425,36.8756
2.926,5.30911,37.0487
2.927,5.37015,37.2921
2.928,5.39658,37.5579
2.929,5.44126,37.83
2.930,5.44724,38.0769
2.931,5.44524,38.1844
2.932,5.4243,38.2064
2.933,5.43895,38.0875
2.934,5.44324,37.8804
2.935,5.46594,37.6421
2.936,5.53414,37.3553
2.937,5.68553,37.0226
2.938,5.93599,36.7379
2.939,6.39655,36.5275
2.940,7.14408,36.4255
2.941,8.37732,36.4563
2.942,10.389,36.5494
