Time C2,Pressure C2, Volume C2
6.333333333,3.99593,38.0155
6.35,4.0097,38.5233
6.366666667,4.01086,39.05
6.383333333,4.02212,39.5828
6.4,4.03278,40.1714
6.416666667,4.01166,40.7854
6.433333333,4.01873,41.3634
6.45,4.0223,41.8865
6.466666667,4.05227,42.3479
6.483333333,4.11068,42.7759
6.5,4.30553,43.2508
6.516666667,4.63857,43.7417
6.533333333,5.21947,44.2546
6.55,6.1,44.7627
6.566666667,7.35681,45.293
6.583333333,9.17227,45.8194
6.6,12.2595,46.3961
6.616666667,16.3066,46.9365
6.633333333,20.4503,47.4309
6.65,24.7001,47.8349
6.666666667,29.0482,48.1635
6.683333333,33.1856,48.4023
6.7,36.9988,48.5458
6.716666667,40.4355,48.5031
6.733333333,43.4772,48.2721
6.75,46.0672,47.9735
6.766666667,48.1801,47.6525
6.783333333,49.869,47.2101
6.8,51.2104,46.6613
6.816666667,52.2931,45.9929
6.833333333,53.1691,45.198
6.85,53.8519,44.3146
6.866666667,54.3986,43.36
6.883333333,54.8292,42.2775
6.9,55.1146,41.0694
6.916666667,55.2703,39.792
6.933333333,55.2989,38.4626
6.95,55.1485,37.0783
6.966666667,54.8852,35.6624
6.983333333,54.5168,34.2834
7,54.059,32.9669
7.016666667,53.5373,31.654
7.033333333,52.9401,30.3702
7.05,52.3061,29.1266
7.066666667,51.7438,27.9421
7.083333333,51.307,26.7639
7.1,50.9895,25.5917
7.116666667,50.7894,24.4999
7.133333333,50.5441,23.4969
7.15,50.1315,22.6083
7.166666667,49.5359,21.8498
7.183333333,48.7586,21.1576
7.2,47.8298,20.5436
7.216666667,46.7482,20.0017
7.233333333,45.5005,19.5455
7.25,44.0687,19.1502
7.266666667,42.5562,18.8235
7.283333333,40.8894,18.5161
7.3,39.0085,18.2494
7.316666667,36.5087,18.0072
7.333333333,33.4501,17.7954
7.35,30.707,17.5882
7.366666667,28.2874,17.3927
7.383333333,25.9334,17.2256
7.4,23.43,17.0955
7.416666667,20.8691,16.9683
7.433333333,18.5674,16.842
7.45,16.7527,16.7343
7.466666667,15.2451,16.655
7.483333333,13.8618,16.581
7.5,12.5878,16.509
7.516666667,11.4424,16.4592
7.533333333,10.4188,16.4314
7.55,9.45924,16.4394
7.566666667,8.54349,16.4753
7.583333333,7.6184,16.5432
7.6,6.71152,16.6384
7.616666667,5.87543,16.7712
7.633333333,5.07168,16.9352
7.65,4.24468,17.1254
7.666666667,3.63901,17.3432
7.683333333,3.25177,17.5981
7.7,3.05032,17.9309
7.716666667,2.95904,18.253
7.733333333,3.0029,18.5114
7.75,3.11827,18.7458
7.766666667,3.2573,18.9612
7.783333333,3.35148,19.1814
7.8,3.40174,19.4055
7.816666667,3.37759,19.646
7.833333333,3.36216,19.8896
7.85,3.37341,20.1429
7.866666667,3.37163,20.3978
7.883333333,3.35352,20.6597
7.9,3.3163,20.9242
7.916666667,3.29798,21.1875
7.933333333,3.30178,21.4386
7.95,3.31086,21.6871
7.966666667,3.3153,21.9079
7.983333333,3.29858,22.1229
8,3.31208,22.321
8.016666667,3.33145,22.5359
8.033333333,3.34282,22.7556
8.05,3.36848,22.9875
8.066666667,3.38832,23.2034
8.083333333,3.39386,23.4264
8.1,3.40392,23.6378
8.116666667,3.41889,23.8762
8.133333333,3.44302,24.1114
8.15,3.45123,24.367
8.166666667,3.45449,24.6302
8.183333333,3.47029,24.9264
8.2,3.49652,25.2378
8.216666667,3.55184,25.5728
8.233333333,3.57309,25.9067
8.25,3.60214,26.2883
8.266666667,3.63138,26.7154
8.283333333,3.67662,27.1654
8.3,3.69308,27.6117
8.316666667,3.71607,28.0759
8.333333333,3.73539,28.5364
8.35,3.74781,29.0233
8.366666667,3.75923,29.5188
8.383333333,3.78836,29.9574
8.4,3.80281,30.3771
8.416666667,3.80409,30.8504
8.433333333,3.82434,31.3329
8.45,3.84327,31.8326
8.466666667,3.83845,32.3281
8.483333333,3.84617,32.8017
8.5,3.86691,33.2318
8.516666667,3.86898,33.6304
8.533333333,3.87905,33.9673
8.55,3.88383,34.3048
8.566666667,3.87767,34.6245
8.583333333,3.89693,34.9889
8.6,3.88081,35.4029
8.616666667,3.88235,35.8389
8.633333333,3.87473,36.2879
8.65,3.8775,36.7464
8.666666667,3.89075,37.1849
8.683333333,3.94219,37.6607
8.7,4.0647,38.1587
8.716666667,4.3398,38.6609
8.733333333,4.78893,39.1673
8.75,5.50171,39.7097
8.766666667,6.53958,40.2808
8.783333333,7.99026,40.8509
8.8,10.1858,41.4012
8.816666667,13.8237,41.9272
8.833333333,18.0446,42.4049
8.85,22.1589,42.8263
