Time C2,Pressure C2, Volume C2
0.397,16.3066,46.9365
0.398,20.4503,47.4309
0.399,24.7001,47.8349
0.4,29.0482,48.1635
0.401,33.1856,48.4023
0.402,36.9988,48.5458
0.403,40.4355,48.5031
0.404,43.4772,48.2721
0.405,46.0672,47.9735
0.406,48.1801,47.6525
0.407,49.869,47.2101
0.408,51.2104,46.6613
0.409,52.2931,45.9929
0.41,53.1691,45.198
0.411,53.8519,44.3146
0.412,54.3986,43.36
0.413,54.8292,42.2775
0.414,55.1146,41.0694
0.415,55.2703,39.792
0.416,55.2989,38.4626
0.417,55.1485,37.0783
0.418,54.8852,35.6624
0.419,54.5168,34.2834
0.42,54.059,32.9669
0.421,53.5373,31.654
0.422,52.9401,30.3702
0.423,52.3061,29.1266
0.424,51.7438,27.9421
0.425,51.307,26.7639
0.426,50.9895,25.5917
0.427,50.7894,24.4999
0.428,50.5441,23.4969
0.429,50.1315,22.6083
0.43,49.5359,21.8498
0.431,48.7586,21.1576
0.432,47.8298,20.5436
0.433,46.7482,20.0017
0.434,45.5005,19.5455
0.435,44.0687,19.1502
0.436,42.5562,18.8235
0.437,40.8894,18.5161
0.438,39.0085,18.2494
0.439,36.5087,18.0072
0.44,33.4501,17.7954
0.441,30.707,17.5882
0.442,28.2874,17.3927
0.443,25.9334,17.2256
0.444,23.43,17.0955
0.445,20.8691,16.9683
0.446,18.5674,16.842
0.447,16.7527,16.7343
0.448,15.2451,16.655
0.449,13.8618,16.581
0.45,12.5878,16.509
0.451,11.4424,16.4592
0.452,10.4188,16.4314
0.453,9.45924,16.4394
0.454,8.54349,16.4753
0.455,7.6184,16.5432
0.456,6.71152,16.6384
0.457,5.87543,16.7712
0.458,5.07168,16.9352
0.459,4.24468,17.1254
0.46,3.63901,17.3432
0.461,3.25177,17.5981
0.462,3.05032,17.9309
0.463,2.95904,18.253
0.464,3.0029,18.5114
0.465,3.11827,18.7458
0.466,3.2573,18.9612
0.467,3.35148,19.1814
0.468,3.40174,19.4055
0.469,3.37759,19.646
0.47,3.36216,19.8896
0.471,3.37341,20.1429
0.472,3.37163,20.3978
0.473,3.35352,20.6597
0.474,3.3163,20.9242
0.475,3.29798,21.1875
0.476,3.30178,21.4386
0.477,3.31086,21.6871
0.478,3.3153,21.9079
0.479,3.29858,22.1229
0.48,3.31208,22.321
0.481,3.33145,22.5359
0.482,3.34282,22.7556
0.483,3.36848,22.9875
0.484,3.38832,23.2034
0.485,3.39386,23.4264
0.486,3.40392,23.6378
0.487,3.41889,23.8762
0.488,3.44302,24.1114
0.489,3.45123,24.367
0.49,3.45449,24.6302
0.491,3.47029,24.9264
0.492,3.49652,25.2378
0.493,3.55184,25.5728
0.494,3.57309,25.9067
0.495,3.60214,26.2883
0.496,3.63138,26.7154
0.497,3.67662,27.1654
0.498,3.69308,27.6117
0.499,3.71607,28.0759
0.5,3.73539,28.5364
0.501,3.74781,29.0233
0.502,3.75923,29.5188
0.503,3.78836,29.9574
0.504,3.80281,30.3771
0.505,3.80409,30.8504
0.506,3.82434,31.3329
0.507,3.84327,31.8326
0.508,3.83845,32.3281
0.509,3.84617,32.8017
0.51,3.86691,33.2318
0.511,3.86898,33.6304
0.512,3.87905,33.9673
0.513,3.88383,34.3048
0.514,3.87767,34.6245
0.515,3.89693,34.9889
0.516,3.88081,35.4029
0.517,3.88235,35.8389
0.518,3.87473,36.2879
0.519,3.8775,36.7464
0.52,3.89075,37.1849
0.521,3.94219,37.6607
0.522,4.0647,38.1587
0.523,4.3398,38.6609
0.524,4.78893,39.1673
0.525,5.50171,39.7097
0.526,6.53958,40.2808
0.527,7.99026,40.8509
0.528,10.1858,41.4012
0.529,13.8237,41.9272
0.53,18.0446,42.4049
0.531,22.1589,42.8263
0.532,26.3154,43.1819
0.533,30.3937,43.4759
0.534,34.1821,43.71
0.535,37.5987,43.8951
0.536,40.6446,43.9955
0.537,43.341,43.9633
0.538,45.6192,43.8262
0.539,47.4862,43.5951
0.54,48.9796,43.2668
0.541,50.1814,42.849
0.542,51.1296,42.3215
0.543,51.9371,41.6731
0.544,52.5787,40.9124
0.545,53.0698,40.0513
0.546,53.4103,39.0933
0.547,53.6363,38.0395
0.548,53.6995,36.896
0.549,53.6236,35.6735
0.55,53.4029,34.4023
0.551,53.1014,33.1284
0.552,52.7002,31.8737
0.553,52.1851,30.6979
0.554,51.604,29.5717
0.555,51.0151,28.5299
0.556,50.4482,27.5149
0.557,49.9872,26.4993
0.558,49.5877,25.5134
0.559,49.3046,24.5528
0.56,48.9981,23.6597
0.561,48.554,22.8756
0.562,47.928,22.1642
0.563,47.1546,21.5086
0.564,46.2097,20.9243
0.565,45.1398,20.4178
0.566,43.9304,19.965
0.567,42.5968,19.5228
0.568,41.1147,19.1205
0.569,39.5404,18.7477
0.57,37.7708,18.4209
0.571,35.4802,18.1259
0.572,32.5012,17.8773
0.573,29.7806,17.6627
0.574,27.3795,17.4821
0.575,25.0712,17.324
0.576,22.5957,17.1878
0.577,20.0764,17.0474
0.578,17.8451,16.929
0.579,16.1466,16.8139
0.58,14.7587,16.7183
0.581,13.5071,16.6339
0.582,12.3583,16.577
0.583,11.3196,16.5329
0.584,10.3655,16.5222
0.585,9.438,16.5418
0.586,8.59917,16.5948
0.587,7.65207,16.6549
0.588,6.59912,16.753
0.589,5.63946,16.899
0.59,4.80037,17.0946
0.591,4.16052,17.3242
0.592,3.7015,17.5891
0.593,3.4695,17.8958
0.594,3.39712,18.2277
0.595,3.48109,18.5604
0.596,3.60612,18.896
0.597,3.7017,19.2319
0.598,3.74035,19.5797
0.599,3.74542,19.9409
0.6,3.7259,20.3224
0.601,3.72681,20.7102
0.602,3.6886,21.0963
0.603,3.64677,21.4623
0.604,3.60201,21.8335
0.605,3.58137,22.2061
0.606,3.54763,22.5694
0.607,3.53483,22.8905
0.608,3.53184,23.208
0.609,3.53133,23.5118
0.61,3.52796,23.8148
0.611,3.53435,24.0867
0.612,3.54131,24.3638
0.613,3.56157,24.6179
0.614,3.5843,24.8881
0.615,3.60753,25.1632
0.616,3.6344,25.4497
0.617,3.64469,25.7103
0.618,3.63635,25.9911
0.619,3.65879,26.2608
0.62,3.67315,26.5735
0.621,3.68694,26.9393
0.622,3.71744,27.3331
0.623,3.74382,27.695
0.624,3.75989,28.09
0.625,3.7888,28.5061
0.626,3.81571,28.9659
0.627,3.85537,29.4694
0.628,3.89461,30.0312
0.629,3.91968,30.6115
0.63,3.95101,31.2167
0.631,3.97146,31.8254
0.632,3.99366,32.4587
0.633,4.02678,33.0577
0.634,4.04482,33.6794
0.635,4.07126,34.3561
0.636,4.08101,35.0631
0.637,4.09661,35.7655
0.638,4.11015,36.4608
0.639,4.13517,37.1049
0.64,4.15609,37.7348
0.641,4.15639,38.3415
0.642,4.16443,38.9357
0.643,4.18247,39.4683
0.644,4.19239,39.992
0.645,4.19182,40.4368
0.646,4.20445,40.9145
0.647,4.20393,41.4635
0.648,4.20144,42.0552
0.649,4.19196,42.6493
0.65,4.20555,43.2686
0.651,4.19595,43.9271
0.652,4.20399,44.5944
0.653,4.22421,45.2385
0.654,4.26565,45.9013
0.655,4.3861,46.5832
0.656,4.65487,47.2412
0.657,5.14833,47.8833
0.658,5.94192,48.511
0.659,7.08944,49.1214
0.66,8.73402,49.7079
0.661,11.4826,50.2625
0.662,15.4988,50.7067
0.663,19.7167,51.0796
0.664,24.0727,51.4087
0.665,28.5767,51.6812
0.666,32.8711,51.8513
0.667,36.8119,51.9218
0.668,40.4386,51.8508
0.669,43.6409,51.6735
0.67,46.3551,51.371
0.671,48.6114,50.953
0.672,50.3846,50.4011
0.673,51.8094,49.7368
0.674,52.9822,49.0043
0.675,53.9221,48.1677
0.676,54.6808,47.1476
0.677,55.2864,45.982
0.678,55.7613,44.6941
0.679,56.0763,43.2997
0.68,56.2741,41.8591
0.681,56.3231,40.3529
0.682,56.2602,38.8013
0.683,56.0563,37.2254
0.684,55.7252,35.6858
0.685,55.285,34.1819
0.686,54.7544,32.8127
0.687,54.1033,31.5024
0.688,53.4315,30.2028
0.689,52.7167,28.976
0.69,52.0239,27.818
0.691,51.4218,26.7193
0.692,50.9852,25.6363
0.693,50.6575,24.6245
0.694,50.3186,23.7093
0.695,49.8593,22.8859
0.696,49.2548,22.109
0.697,48.5145,21.4167
0.698,47.621,20.7841
0.699,46.5261,20.2401
0.7,45.2685,19.7423
0.701,43.8827,19.3172
0.702,42.4027,18.9216
0.703,40.7459,18.5921
0.704,38.797,18.2903
0.705,36.0102,18.0388
0.706,32.9591,17.8062
0.707,30.3,17.6316
0.708,27.9427,17.4736
0.709,25.6036,17.3498
0.71,23.1717,17.229
0.711,20.6526,17.1406
0.712,18.3871,17.0374
0.713,16.6093,16.9504
0.714,15.1608,16.8482
0.715,13.8702,16.7507
0.716,12.7277,16.6574
0.717,11.6422,16.6014
0.718,10.643,16.5718
0.719,9.76879,16.5782
0.72,8.73681,16.6182
0.721,7.63543,16.6941
0.722,6.57735,16.8044
0.723,5.60518,16.9529
0.724,4.74682,17.1285
0.725,4.04939,17.3404
0.726,3.55067,17.5842
0.727,3.24172,17.8576
0.728,3.12192,18.1374
0.729,3.15929,18.4235
0.73,3.32801,18.711
0.731,3.49143,19.0186
0.732,3.60016,19.3464
0.733,3.60519,19.6969
0.734,3.61286,20.0488
0.735,3.59582,20.4005
0.736,3.5712,20.7426
0.737,3.53626,21.0867
0.738,3.5101,21.4234
0.739,3.4806,21.7588
0.74,3.46087,22.089
0.741,3.45207,22.4236
0.742,3.4375,22.7461
0.743,3.41998,23.0662
0.744,3.43519,23.3675
0.745,3.45029,23.673
0.746,3.46176,23.9788
0.747,3.46404,24.2872
0.748,3.49811,24.5862
0.749,3.50761,24.8957
0.75,3.5232,25.2041
0.751,3.51401,25.5143
0.752,3.51691,25.8015
0.753,3.52982,26.1039
0.754,3.5674,26.4098
0.755,3.58101,26.7555
0.756,3.60049,27.148
0.757,3.62897,27.5681
0.758,3.67457,27.9855
0.759,3.69942,28.4293
0.76,3.7404,28.893
0.761,3.76274,29.3882
0.762,3.80208,29.8931
0.763,3.82771,30.4248
0.764,3.85474,30.9863
0.765,3.88996,31.5734
0.766,3.91442,32.1526
0.767,3.94788,32.7407
0.768,3.9692,33.2846
0.769,3.97716,33.8595
0.77,4.00455,34.5152
0.771,4.00689,35.1897
0.772,4.04105,35.808
0.773,4.05649,36.4175
0.774,4.0709,37.0657
0.775,4.0767,37.7234
0.776,4.09329,38.312
0.777,4.09934,38.8844
0.778,4.10618,39.3881
0.779,4.10131,39.8967
0.78,4.11332,40.3889
0.781,4.1191,40.9053
0.782,4.10112,41.4938
0.783,4.10176,42.1002
0.784,4.11901,42.6656
0.785,4.1252,43.2454
0.786,4.15361,43.8646
0.787,4.20379,44.499
0.788,4.34415,45.179
0.789,4.63619,45.8343
0.79,5.13014,46.4351
0.791,5.93988,47.008
0.792,7.12773,47.6218
0.793,8.75979,48.1962
0.794,11.5019,48.7142
0.795,15.5201,49.1853
0.796,19.7563,49.6757
0.797,24.0731,50.0731
0.798,28.5327,50.3989
0.799,32.8323,50.6198
0.8,36.793,50.7498
0.801,40.3897,50.7534
0.802,43.573,50.659
0.803,46.3176,50.4476
0.804,48.581,50.1522
0.805,50.3813,49.6957
0.806,51.8177,49.0877
0.807,52.9737,48.3504
0.808,53.8961,47.5006
0.809,54.6339,46.5828
0.81,55.2248,45.5665
0.811,55.6794,44.3855
0.812,55.9899,43.0807
0.813,56.1756,41.7437
0.814,56.251,40.356
0.815,56.191,38.8482
0.816,55.9637,37.2654
0.817,55.6525,35.6987
0.818,55.2239,34.1353
0.819,54.6841,32.659
0.82,54.0824,31.2537
0.821,53.4087,29.9467
0.822,52.7325,28.7342
0.823,52.098,27.5161
0.824,51.5807,26.3506
0.825,51.2443,25.297
0.826,50.9934,24.339
0.827,50.6197,23.4366
0.828,50.1143,22.6155
0.829,49.4808,21.82
0.83,48.6714,21.1164
0.831,47.7483,20.5284
0.832,46.6508,20.0485
0.833,45.3956,19.5684
0.834,43.952,19.1656
0.835,42.3854,18.8438
0.836,40.6685,18.6104
0.837,38.5631,18.3459
0.838,35.6259,18.1211
0.839,32.6578,17.8988
0.84,30.073,17.7225
0.841,27.729,17.5605
0.842,25.3832,17.443
0.843,22.8907,17.3287
0.844,20.3833,17.2476
0.845,18.2319,17.1309
0.846,16.5503,17.0253
0.847,15.131,16.9277
0.848,13.8528,16.8428
0.849,12.699,16.7711
0.85,11.6292,16.7361
0.851,10.6546,16.7213
0.852,9.69948,16.727
0.853,8.83951,16.776
0.854,7.72851,16.8654
0.855,6.57235,16.9797
0.856,5.56044,17.1292
0.857,4.71867,17.3083
0.858,4.02883,17.5168
0.859,3.58017,17.7535
0.86,3.29337,18.0127
0.861,3.15432,18.2861
0.862,3.17418,18.5734
0.863,3.28941,18.8394
0.864,3.42683,19.109
0.865,3.53498,19.3857
0.866,3.58777,19.6724
0.867,3.60175,19.9605
0.868,3.57033,20.2506
0.869,3.54971,20.5684
0.87,3.49237,20.9075
0.871,3.47673,21.2486
0.872,3.44947,21.5883
0.873,3.42896,21.9261
0.874,3.41813,22.2643
0.875,3.41276,22.6077
0.876,3.39903,22.946
0.877,3.41388,23.2442
0.878,3.42334,23.5161
0.879,3.4483,23.7938
0.88,3.44817,24.0738
0.881,3.46419,24.3492
0.882,3.4595,24.6194
0.883,3.48765,24.9026
0.884,3.49428,25.1925
0.885,3.51941,25.4616
0.886,3.52632,25.7258
0.887,3.56312,26.0128
0.888,3.56877,26.3255
0.889,3.6029,26.6733
0.89,3.60839,27.0361
0.891,3.65214,27.3848
0.892,3.66682,27.7455
0.893,3.70628,28.147
0.894,3.72257,28.5718
0.895,3.74285,28.9913
0.896,3.77405,29.418
0.897,3.80068,29.8887
0.898,3.83339,30.3974
0.899,3.86668,31.0298
0.9,3.87726,31.711
0.901,3.88601,32.237
0.902,3.89057,32.682
0.903,3.92617,33.148
0.904,3.93155,33.6321
0.905,3.95949,34.0923
0.906,3.96735,34.5475
0.907,3.9718,35.0298
0.908,3.99227,35.5344
0.909,3.99825,35.9814
0.91,4.00133,36.395
0.911,3.99647,36.7605
0.912,4.00881,37.1316
0.913,4.02076,37.5736
0.914,4.02412,38.0475
0.915,4.03196,38.5267
0.916,4.02906,38.9976
0.917,4.03987,39.4449
0.918,4.03711,39.9046
0.919,4.07454,40.374
0.92,4.17102,40.8407
0.921,4.36728,41.3563
0.922,4.74815,41.8885
0.923,5.37379,42.4639
0.924,6.3203,43.0131
0.925,7.6338,43.5472
0.926,9.57413,44.0562
0.927,12.8171,44.5814
0.928,16.92,45.0496
0.929,21.0508,45.4763
0.93,25.2771,45.8193
0.931,29.5364,46.1036
0.932,33.5732,46.3156
0.933,37.2667,46.4709
0.934,40.5893,46.5243
0.935,43.5258,46.5136
0.936,46.0335,46.4274
0.937,48.1061,46.3248
0.938,49.741,46.0837
0.939,51.0327,45.6496
0.94,52.0563,44.9294
0.941,52.8917,43.9766
