Time C1,Pressure C1, Volume C1,Time C2,Pressure C2, Volume C2,Time C3,Pressure C3, Volume C3
0.447,65.1391,39.1632,0.262,8.05761,46.0983,2.519,54.7542,33.1218
0.448,68.6539,39.3498,0.263,10.3195,46.6446,2.52,57.5169,32.5428
0.449,71.1115,39.379,0.264,13.9801,47.1605,2.521,59.8087,31.9884
0.45,72.7411,39.2777,0.265,18.2027,47.6879,2.522,61.7034,31.3726
0.451,73.96,39.0515,0.266,22.414,48.1116,2.523,63.2779,30.7204
0.452,74.9425,38.6879,0.267,26.8145,48.4432,2.524,64.5844,30.0405
0.453,75.8223,38.1548,0.268,31.1869,48.6773,2.525,65.662,29.3416
0.454,76.6517,37.4639,0.269,35.2277,48.8453,2.526,66.5085,28.5791
0.455,77.52,36.5968,0.27,38.9138,48.9079,2.527,67.1554,27.7658
0.456,78.3649,35.5717,0.271,42.2208,48.8874,2.528,67.6491,26.9528
0.457,79.1489,34.4165,0.272,45.0927,48.7494,2.529,67.9869,26.1417
0.458,79.9208,33.1159,0.273,47.5327,48.5353,2.53,68.1549,25.3392
0.459,80.713,31.6724,0.274,49.4601,48.1785,2.531,68.203,24.5516
0.46,81.4913,30.1167,0.275,50.9874,47.6976,2.532,68.1303,23.7035
0.461,82.2949,28.5476,0.276,52.2221,47.0957,2.533,67.9418,22.8125
0.462,83.1209,26.9325,0.277,53.2211,46.3643,2.534,67.5952,21.8857
0.463,83.9929,25.3725,0.278,54.0277,45.5353,2.535,67.1118,20.9365
0.464,84.9233,23.8033,0.279,54.6658,44.6292,2.536,66.4653,19.9831
0.465,85.8842,22.2281,0.28,55.1575,43.5993,2.537,65.649,19.034
0.466,86.8256,20.6495,0.281,55.5201,42.4454,2.538,64.6578,18.1269
0.467,87.7703,19.0629,0.282,55.7388,41.1657,2.539,63.4663,17.2774
0.468,88.5868,17.5331,0.283,55.856,39.7875,2.54,62.0024,16.5133
0.469,89.2291,16.1686,0.284,55.7999,38.3652,2.541,60.2744,15.8214
0.47,89.5659,14.9112,0.285,55.6382,36.895,2.542,58.225,15.2185
0.471,89.5936,13.7741,0.286,55.3478,35.4483,2.543,55.8479,14.7057
0.472,89.1691,12.7486,0.287,54.9287,34.0331,2.544,53.1495,14.233
0.473,88.2375,11.8105,0.288,54.4355,32.7093,2.545,50.1166,13.8127
0.474,86.6298,10.9691,0.289,53.8329,31.4775,2.546,46.7253,13.4637
0.475,84.2712,10.1528,0.29,53.1905,30.2747,2.547,42.9449,13.1884
0.476,81.0324,9.43909,0.291,52.528,29.1282,2.548,38.587,12.9609
0.477,76.9336,8.82354,0.292,51.8615,27.9754,2.549,33.2875,12.7689
0.478,72.0208,8.29927,0.293,51.3474,26.8366,2.55,27.7914,12.6379
0.479,66.3631,7.79661,0.294,50.9805,25.7389,2.551,23.149,12.5544
0.48,59.7077,7.38019,0.295,50.6965,24.7079,2.552,19.3118,12.5297
0.481,52.4001,7.02244,0.296,50.3348,23.7642,2.553,15.9533,12.5416
0.482,45.6019,6.75581,0.297,49.8207,22.9155,2.554,13.0384,12.64
0.483,39.2577,6.54579,0.298,49.1845,22.1321,2.555,10.4934,12.8353
0.484,33.1959,6.4131,0.299,48.4117,21.4446,2.556,8.32855,13.1189
0.485,27.5612,6.3204,0.3,47.4818,20.8054,2.557,6.4915,13.5452
0.486,22.6515,6.30687,0.301,46.403,20.2497,2.558,5.01626,14.0032
0.487,18.4646,6.33711,0.302,45.1417,19.7623,2.559,3.88097,14.4271
0.488,14.9117,6.43587,0.303,43.71,19.3616,2.56,3.09349,14.8874
0.489,11.8752,6.56862,0.304,42.1509,18.9954,2.561,2.6034,15.3931
0.49,9.27762,6.76074,0.305,40.4673,18.7015,2.562,2.34615,15.9348
0.491,7.10267,6.97396,0.306,38.4883,18.4105,2.563,2.22565,16.5309
0.492,5.31883,7.23354,0.307,35.7064,18.1546,2.564,2.25942,17.1425
0.493,3.93323,7.51752,0.308,32.624,17.9193,2.565,2.30901,17.7492
0.494,2.92514,7.84335,0.309,29.9254,17.736,2.566,2.38412,18.3835
0.495,2.23708,8.19123,0.31,27.5043,17.5652,2.567,2.43357,19.0483
0.496,1.81869,8.5713,0.311,25.0695,17.4327,2.568,2.47082,19.7528
0.497,1.63313,8.96317,0.312,22.4887,17.3099,2.569,2.495,20.4925
0.498,1.58745,9.37679,0.313,19.9292,17.2134,2.57,2.50692,21.2501
