SV_C1,SV_C2,SV_C3,SV_C4,SV_C5,SV_C6,SV_C7,SV_C8,SV_C9,SV_C10,SV_C11,SV_C12,SV_C13,SV_C14,SV_A1,SV_A2,SV_A3,SV_A4,SV_A5,SV_A6,SV_A7,SV_A8,SV_A9,SV_A10
24.579,19.834,24.172,24.659,20.583,16.442,41.473,,21.333,27.036,28.736,29.468,32.893,16.259,17.69,13.127,11.906,12.448,11.299,5.519,3.035,14.18,17.526,12.943
24.306,27.383,24.07,25.582,21.762,16.87,22.78,,27.757,30.988,95.148,30.599,30.378,15.16,17.454,13.678,9.935,12.912,11.945,5.798,3.222,17.667,18.83,10.412
22.319,25.064,23.008,25.193,20.729,17.811,23.506,,25.879,27.988,67.698,33.378,30.824,19.644,18.377,13.178,11.758,11.911,11.299,5.577,3.147,13.748,17.38,13.883
21.752,23.927,25.085,29.629,21.276,18.274,20.856,,24.856,29.285,36.591,30.836,33.711,14.617,19.135,14.228,10.566,11.506,11.793,5.151,3.379,17.251,18.284,10.142
23.912,21.443,26.268,31.512,21.257,16.706,19.609,,23.29,36.214,31.163,29.983,33.862,18.109,18.103,12.819,12.091,11.702,11.688,5.619,3.05,15.257,15.559,13.538
24.429,27.396,27.348,28.407,21.287,16.781,20.999,,24.535,42.474,31.704,33.245,32.525,15.985,17.323,13.577,7.655,11.209,12.105,6.055,2.398,15.912,15.77,9.824
18.264,26.363,28.413,26.419,17.415,17.758,18.242,,24.465,46.375,33.409,31.633,29.414,15.232,15.704,13.292,10.297,9.92,11.628,5.209,4.199,17.049,21.31,13.239
22.18,12.747,26.525,22.599,18.191,18.084,19.223,,23.544,32.835,29.487,29.883,29.73,19.059,17.311,13.757,10.049,9.753,11.892,5.639,2.931,18.674,17.284,9.64
22.712,23.852,26.592,22.436,19.662,16.513,21.314,,23.309,31.321,27.644,30.28,32.531,14.443,16.317,14.012,10.642,11.89,11.876,4.799,3.045,12.943,19.457,13.143
20.917,27.906,24.189,22.807,20.813,17.424,21.12,,24.132,30.873,28.659,52.046,31.828,17.662,17.466,18.017,8.719,11.75,14.183,5.052,3.362,15.449,18.089,9.054
21.096,25.084,22.91,24.019,22.066,15.828,,,23.493,27.621,29.795,32.838,27.522,19.46,15.342,18.816,10.396,11.101,14.141,5.725,3.213,18.139,19.047,13.383
19.885,18.643,22.819,25.402,20.557,12.504,,,,26.117,26.785,41.383,28.588,14.337,17.076,14.13,9.519,10.854,12.133,6.069,3.543,15.362,16.563,9.725
21.139,24.871,23.661,23.283,20.814,15.87,,,,29.119,27.851,39.97,30.085,19.671,16.62,10.892,10.402,11.656,12.236,5.34,2.978,15.498,18.218,13.366
23.874,23.352,25.157,23.898,20.716,16.535,,,,30.386,29.487,33.395,31.142,14.971,17.926,11.403,11.761,11.758,11.462,5.592,2.657,17.266,18.826,9.788
24.561,21.366,24.42,24.638,21.373,18.966,,,,31.261,29.853,29.935,30.741,15.156,16.784,11.724,12.734,11.294,11.144,6.232,2.686,14.531,18.138,13.606
23.026,20.255,23.965,25.454,20.98,16.688,,,,32.71,28.291,27.784,31.054,17.782,17.188,12.806,13.504,10.789,11.837,6.827,3.409,17.689,18.341,9.35
22.271,,23.141,25.286,21.774,16.488,,,,29.458,28.428,33.352,31.513,13.903,18.34,11.262,,10.945,11.514,5.73,3.229,17.531,18.417,12.924
24.646,,23.58,23.533,20.608,17.217,,,,30.375,30.498,30.038,33.088,16.071,17.78,12.581,,11.803,11.437,5.831,3.168,12.48,18.137,9.66
25.881,,25.661,24.318,22.065,18.012,,,,29.797,63.036,28.247,32.436,16.336,17.489,,,11.375,11.498,6.404,3.043,15.091,18.423,13.09
,,24.124,25.181,18.688,16.149,,,,31.844,68.766,,31.082,13.853,17.086,,,10.858,11.31,6.892,3.295,18.128,18.461,9.483
,,23.739,25.694,19.653,15.844,,,,28.663,31.996,,31.484,20.512,17.426,,,11.949,11.562,5.947,3.15,13.925,17.984,13.54
,,24.357,30.034,20.452,16.712,,,,32.661,34.498,,26.877,14.919,17.293,,,9.671,11.744,6.004,3.122,16.598,18.677,8.729
,,25.051,27.342,22.779,18.127,,,,33.146,30.603,,31.853,17.007,,,,9.892,11.443,6.523,3.336,15.8,18.898,12.596
,,24.36,28.751,22.347,16.19,,,,33.161,28.034,,29.305,18.345,,,,11.236,11.396,6.918,3.399,14.974,18.579,10.165
,,28.728,27.855,21.819,16.568,,,,44.68,27.92,,29.1,15.064,,,,12.1,11.516,5.973,3.296,17.045,17.427,13.421
,,26.788,23.674,20.748,16.885,,,,49.513,29.368,,30.067,19.458,,,,11.698,12.153,4.307,3.571,14.774,17.669,9.567
,,31.148,22.702,20.956,17.819,,,,,27.132,,30.2,15.564,,,,11.494,13.537,5.974,3.323,12.426,18.678,13.359
,,26.903,22.239,21.309,16.136,,,,,26.655,,31.881,17.452,,,,11.091,14.495,6.497,3.233,17.526,18.208,9.645
,,23.637,22.963,20.577,16.724,,,,,26.228,,30.194,18.991,,,,12.093,11.52,5.748,3.306,16.42,16.384,13.036
,,22.545,24.43,21.325,17.596,,,,,29.709,,30.372,14.741,,,,11.777,11.331,5.096,3.523,16.518,17.65,9.085
,,22.926,24.194,20.844,17.528,,,,,28.088,,30.609,20.071,,,,11.848,12.263,5.337,3.275,14.143,19.002,13.535
,,25.116,23.4,21.88,16.615,,,,,27.857,,33.735,17.036,,,,11.767,11.654,5.674,3.121,16.423,18.056,
,,24.085,23.807,16.254,16.307,,,,,63.355,,31.019,14.725,,,,12.569,11.918,5.518,2.579,18.258,17.761,
,,23.953,24.179,19.946,15.174,,,,,66.927,,31.419,19.378,,,,11.894,11.681,5.384,3.928,8.285,18.783,
,,22.976,25.575,21.198,12.413,,,,,37.379,,26.329,13.802,,,,11.965,11.681,6.064,1.647,12.22,18.113,
,,24.677,23.722,22.579,16.295,,,,,31.245,,29.188,17.02,,,,11.295,11.341,6.41,3.579,12.768,18.276,
,,25.639,23.241,21.206,18.209,,,,,32.297,,29.784,16.943,,,,13.05,10.577,6.048,3.12,15.892,18.444,
,,24.514,23.624,21.074,17.799,,,,,32.552,,28.834,14.066,,,,,11.37,5.772,3.388,21.753,18.866,
,,23.751,24.961,20.929,17.048,,,,,28.236,,28.816,18.579,,,,,11.181,6.061,3.438,19.367,17.975,
,,24.718,29.898,20.941,16.209,,,,,28.057,,29.683,14.66,,,,,11.099,6.459,3.548,,18.38,
,,24.781,29.289,20.86,17.098,,,,,29.138,,30.746,16.983,,,,,11.154,6.341,3.189,,19.036,
,,30.444,26.482,20.561,18.523,,,,,27.328,,30.136,19.773,,,,,11.624,5.962,3.531,,18.257,
,,,,,16.252,,,,,,,29.833,14.821,,,,,,,3.475,,17.479,
,,,,,16.563,,,,,,,32.477,19.163,,,,,,,3.416,,18.352,
,,,,,16.804,,,,,,,32.457,,,,,,,,3.119,,18.418,
,,,,,18.629,,,,,,,32.587,,,,,,,,3.576,,17.347,
,,,,,15.757,,,,,,,,,,,,,,,3.351,,16.715,
,,,,,16.222,,,,,,,,,,,,,,,3.298,,18.668,
,,,,,16.933,,,,,,,,,,,,,,,2.708,,18.195,
,,,,,17.211,,,,,,,,,,,,,,,4.846,,17.642,
,,,,,,,,,,,,,,,,,,,,3.012,,17.519,
,,,,,,,,,,,,,,,,,,,,3.751,,18.275,
,,,,,,,,,,,,,,,,,,,,3.643,,17.965,
,,,,,,,,,,,,,,,,,,,,0.062,,17.622,
,,,,,,,,,,,,,,,,,,,,0.005,,18.477,
,,,,,,,,,,,,,,,,,,,,0.002,,18.847,
,,,,,,,,,,,,,,,,,,,,0.002,,18.197,
,,,,,,,,,,,,,,,,,,,,0.001,,18.089,
,,,,,,,,,,,,,,,,,,,,0.004,,18.532,
,,,,,,,,,,,,,,,,,,,,0.003,,18.57,
,,,,,,,,,,,,,,,,,,,,,,18.153,
,,,,,,,,,,,,,,,,,,,,,,18.386,
,,,,,,,,,,,,,,,,,,,,,,16.66,
,,,,,,,,,,,,,,,,,,,,,,18.25,
,,,,,,,,,,,,,,,,,,,,,,18.528,
,,,,,,,,,,,,,,,,,,,,,,17.819,
,,,,,,,,,,,,,,,,,,,,,,18.454,
,,,,,,,,,,,,,,,,,,,,,,18.204,
,,,,,,,,,,,,,,,,,,,,,,18.144,
,,,,,,,,,,,,,,,,,,,,,,18.635,
